Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0169,2.56,5.62,3.39,80.94,29.38
0.0138,2.56,5.63,3.37,81.08,29.02
0.0114,2.57,5.55,3.29,78.89,27.80
0.0105,2.57,5.50,3.25,77.58,27.16
0.0096,2.56,5.45,3.21,75.98,26.43
0.0085,2.54,5.43,3.20,75.11,26.07
0.0076,2.53,5.44,3.21,74.81,26.03
0.0072,2.52,5.50,3.25,76.16,26.54
0.0071,2.52,5.49,3.24,76.04,26.48
0.007,2.53,5.49,3.24,76.14,26.49
0.007,2.53,5.48,3.23,76.19,26.47
0.0069,2.54,5.52,3.25,77.41,26.84
0.0068,2.54,5.52,3.25,77.55,26.90
0.0069,2.55,5.54,3.27,77.98,27.17
0.007,2.55,5.59,3.30,79.53,27.77
0.0071,2.55,5.64,3.34,81.00,28.35
0.0074,2.54,5.62,3.33,80.39,28.15
0.0078,2.54,5.61,3.32,79.84,27.93
0.0084,2.53,5.59,3.31,79.13,27.71
0.009,2.52,5.54,3.28,77.40,27.16
0.0095,2.52,5.44,3.22,74.47,26.18
0.01,2.52,5.34,3.17,71.84,25.31
0.0116,2.52,5.24,3.12,69.37,24.58
0.0139,2.53,5.19,3.10,68.15,24.34
0.0166,2.53,5.16,3.10,67.39,24.27
0.0179,2.54,5.20,3.12,68.60,24.77
0.0193,2.55,5.24,3.15,70.05,25.35
0.0213,2.57,5.33,3.22,73.03,26.62
0.0227,2.60,5.32,3.22,73.53,27.00
0.0242,2.63,5.19,3.15,70.78,26.16
0.0258,2.66,5.02,3.05,66.90,24.81
0.0266,2.68,4.87,2.98,63.68,23.82
0.0274,2.70,4.74,2.91,60.52,22.84
0.0287,2.71,4.71,2.89,59.93,22.57
0.0297,2.71,4.80,2.95,62.35,23.57
0.0304,2.70,4.96,3.05,66.39,25.15
0.0307,2.68,5.03,3.09,67.78,25.54
0.031,2.65,5.10,3.13,69.04,25.89
0.0317,2.63,5.08,3.11,67.91,25.37
0.0323,2.62,5.05,3.09,66.89,24.97
0.0325,2.62,5.06,3.10,67.11,25.12
0.0324,2.63,5.12,3.14,68.71,25.80
0.0325,2.63,5.18,3.17,70.36,26.42
0.0326,2.63,5.24,3.21,72.08,27.06
0.0332,2.63,5.17,3.17,70.42,26.45
0.0336,2.64,5.02,3.07,66.42,24.87
0.0339,2.65,4.86,2.97,62.46,23.31
0.034,2.66,4.78,2.93,60.81,22.76
0.034,2.67,4.71,2.89,59.22,22.23
0.0343,2.67,4.74,2.91,59.91,22.54
0.0348,2.66,4.81,2.95,61.57,23.20
0.0355,2.65,4.86,2.98,62.71,23.60
0.0361,2.64,4.86,2.98,62.37,23.41
0.036,2.63,4.79,2.93,60.38,22.66
0.036,2.64,4.72,2.89,58.74,22.05
0.0355,2.65,4.66,2.86,57.45,21.64
0.0348,2.66,4.61,2.84,56.75,21.46
0.0344,2.67,4.61,2.84,56.76,21.50
0.0342,2.68,4.70,2.89,59.13,22.40
